City,Country,Max Temp,Humidity,Current Description,Lat,Lng,Hotel Name
Pokhara,NP,74.34,43,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
Bridlington,GB,49.01,89,moderate rain,54.0831,-0.1919,Expanse Bridlington Seafront Hotel
Portland,US,40.08,49,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
Camabatela,AO,72.01,70,scattered clouds,-8.1881,15.375,Comércio e Prestação de Serviços
Richards Bay,ZA,77.59,71,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Flinders,AU,73.18,73,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
Mittagong,AU,66.0,58,overcast clouds,-34.45,150.45,Mittagong Motel
Kislovodsk,RU,45.25,43,overcast clouds,43.9133,42.7208,Sanatoriy Plaza Kislovodsk
Oriximina,BR,76.01,65,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
Dhamrai,BD,82.38,41,few clouds,23.9202,90.2109,Dhamrai to Kalampur Auto Station
Arauca,CO,73.4,100,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
Carnarvon,AU,72.45,43,clear sky,-24.8667,113.6333,Hospitality Carnarvon
Bengkulu,ID,80.89,81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Sisophon,KH,89.04,60,overcast clouds,13.5859,102.9737,Pyramid Hotel
Quang Ngai,VN,75.27,92,light rain,15.1167,108.8,Central Hotel
Rorvik,NO,35.71,48,clear sky,64.8621,11.2373,Kysthotellet Rørvik AS
Bijela,BA,47.1,93,overcast clouds,43.6086,17.9519,Garden City Konjic
Shubarkuduk,KZ,36.66,74,overcast clouds,49.1447,56.4872,Sirius
Montepuez,MZ,85.86,38,clear sky,-13.1256,38.9997,PembaAparthotel
Joinville,BR,66.11,88,broken clouds,-26.3044,-48.8456,Mercure Joinville Prinz
Helong,CN,41.32,76,overcast clouds,42.5397,128.9972,Helong Hotel
Boueni,YT,84.18,75,clear sky,-12.9025,45.0761,The feet in water
Kahului,US,78.84,73,clear sky,20.8947,-156.47,Maui Seaside Hotel
Quimper,FR,43.36,100,few clouds,48.0,-4.1,Hôtel Oceania Quimper
Tuensang,IN,76.73,24,overcast clouds,26.2833,94.8333,B.W.D Resthouse.
Cockburn Town,TC,81.34,67,few clouds,21.4612,-71.1419,Osprey Beach Hotel
Jalu,LY,68.59,25,clear sky,29.0331,21.5482,صاحبة الفخامة
Kundiawa,PG,70.66,91,light rain,-6.0167,144.9667,Pari
Pacific Grove,US,58.42,66,clear sky,36.6177,-121.9166,Lovers Point Inn
North Charleston,US,42.91,89,clear sky,32.8886,-80.0075,"Crowne Plaza Charleston Airport - Conv Ctr, an IHG Hotel"
Cervo,ES,51.76,72,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
Faanui,PF,77.56,81,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Alofi,NU,75.09,78,clear sky,-19.0595,-169.9187,Taloa Heights
Sidi Ali,DZ,57.24,52,scattered clouds,36.0998,0.4206,Khaled
Popondetta,PG,85.93,62,overcast clouds,-8.7537,148.2534,Timos Transit House
Ghanzi,BW,88.9,19,clear sky,-21.5667,21.7833,Ghanzi Farmhouse
Saint-Pierre,RE,78.48,53,clear sky,-21.3393,55.4781,Alize Plage
Mahibadhoo,MV,80.76,78,overcast clouds,3.7833,72.9667,Omadhoo Inn
Victoria,HK,84.96,74,few clouds,22.2855,114.1577,Mini Central
Ramhormoz,IR,70.81,60,overcast clouds,31.28,49.6035,کافی نت کاریزما
Shetpe,KZ,52.59,52,clear sky,44.1667,52.1167,Нұрберген Абыл
Kainantu,PG,68.32,87,overcast clouds,-6.2887,145.8655,Sylvester buku
Sao Joao Da Barra,BR,64.15,83,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
Luanda,AO,77.0,83,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
San Isidro,PE,65.01,83,overcast clouds,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
Maningrida,AU,89.64,57,light rain,-12.0667,134.2667,Dhukurrdji Lodge
Ureki,GE,62.56,61,overcast clouds,41.9956,41.7786,Hotel Ritsa
Vinh,VN,81.63,73,overcast clouds,18.6667,105.6667,Vuong Hoan 2
Baikunthpur,IN,73.67,29,few clouds,23.25,82.55,Hotel Shree Annapurna
Rabo De Peixe,PT,62.11,97,broken clouds,37.8,-25.5833,Quinta das Giestas
Coos Bay,US,43.99,87,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
Potiskum,NG,71.49,25,clear sky,11.7091,11.0694,Tamir Hotel Ltd
Laguna,US,51.78,50,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
Riyadh,SA,66.34,67,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
Robertsport,LR,75.97,85,scattered clouds,6.7533,-11.3686,Kwepunha Retreat
Sao Filipe,CV,77.56,69,overcast clouds,14.8961,-24.4956,Hotel Xaguate
Port Moresby,PG,89.02,66,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
Naze,JP,76.12,84,overcast clouds,28.3667,129.4833,Shishime Hotel
Marsh Harbour,BS,74.91,70,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
Muros,ES,47.08,96,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
Karoi,ZW,81.5,23,clear sky,-16.8099,29.6925,Chikangwe Guest houses
Kangaba,ML,66.94,31,broken clouds,11.9333,-8.4167,CAF (case de l´amitié et de la fraternité)
Urucui,BR,71.96,90,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
Russell,US,41.0,93,clear sky,32.3502,-85.1999,Macs
Satipo,PE,69.84,74,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
Joshimath,IN,64.26,25,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
Banon,ES,49.26,46,clear sky,40.8382,-1.1909,Carlos García
Leua,SK,35.49,75,scattered clouds,48.2156,18.6071,Business Hotel ASTRUM Laus
Mehamn,NO,37.35,44,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
Tezu,IN,80.76,26,clear sky,27.9167,96.1667,Circuit House
Buchanan,LR,75.47,87,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
Qui Nhon,VN,75.99,92,overcast clouds,13.7667,109.2333,Seagull Hotel
Isabela,PH,80.65,81,overcast clouds,6.7085,121.9711,Isawad Resort
Tabou,CI,77.41,82,light rain,4.423,-7.3528,hotêl doufoulougou
Hirara,JP,80.46,73,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
Guararapes,BR,66.58,55,clear sky,-21.2608,-50.6428,Hotel Nacional Business
La Ligua,CL,56.7,96,scattered clouds,-32.4524,-71.2311,Hotel Anchimallen
Zhaotong,CN,59.25,43,few clouds,27.3167,103.7167,Jingguan Home
Santiago Del Estero,AR,80.17,27,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
Port Lincoln,AU,58.17,73,light rain,-34.7333,135.8667,Port Lincoln Hotel
Jiexiu,CN,57.16,34,clear sky,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
Fortuna,US,40.35,100,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
Vilhena,BR,70.16,90,overcast clouds,-12.7406,-60.1458,Hotel Mirage
Cabedelo,BR,74.07,79,few clouds,-6.9811,-34.8339,Pousada Camboinha
Villarrica,PY,62.26,70,clear sky,-25.75,-56.4333,Mansión Reljuv Tours SA
Malanville,BJ,73.24,34,overcast clouds,11.8685,3.3899,Hotel Sejour du Sahel
Isla Aguada,MX,76.86,80,light rain,18.7833,-91.4667,Freedom Shores
Sungaipenuh,ID,74.28,74,light rain,-2.0833,101.3833,Penginapan Citra Alam
Manhattan,US,35.65,55,clear sky,40.7834,-73.9662,The Mark Hotel
Midyat,TR,49.28,63,overcast clouds,37.4247,41.3393,Hotel Kasr-i Nehroz
Progreso,MX,73.11,86,clear sky,21.2833,-89.6667,Playa Linda Hotel
Kulhudhuffushi,MV,82.2,73,overcast clouds,6.6221,73.07,Haajy Guest House 1
Sola,VU,83.07,79,few clouds,-13.8833,167.55,Leumerus Bungalows
Urucara,BR,75.58,76,scattered clouds,-2.5364,-57.76,Pousada Maria Bonita
Sabha,LY,64.94,21,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
Coihaique,CL,48.15,53,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
Anau,PF,77.43,81,light rain,-16.5167,-151.7333,InterContinental Bora Bora Resort Thalasso Spa
Molina,CL,60.53,72,overcast clouds,-35.1167,-71.2833,Hostal Pucará
Vestmanna,FO,47.32,81,overcast clouds,62.1564,-7.1664,Budget Guesthouse Borgustova
Kavaratti,IN,81.97,55,scattered clouds,10.5669,72.642,Green leaf
Wanning,CN,80.51,78,overcast clouds,18.8003,110.3967,Paradise Hotel
Rio Grande,BR,67.28,82,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
Toktogul,KG,41.14,91,overcast clouds,41.8708,72.9402,KAGAN
Tiarei,PF,73.42,85,moderate rain,-17.5333,-149.3333,Le Rocher de Tahiti
Numaligarh,IN,75.83,50,clear sky,26.6333,93.75,Mumai Hotel
Guiratinga,BR,72.32,64,clear sky,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
Marystown,CA,36.72,63,scattered clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
Cerro Largo,BR,65.73,62,clear sky,-28.1486,-54.7381,Hotel Missões
Morondava,MG,83.32,55,clear sky,-20.2833,44.2833,La Case Bambou
Manado,ID,81.37,89,light rain,1.487,124.8455,Aryaduta Hotel
Port Hueneme,US,65.7,29,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
Nhulunbuy,AU,88.41,62,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
Kamaishi,JP,50.54,60,scattered clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
Adelaide,AU,65.48,79,broken clouds,-34.9333,138.6,The Chancellor on Currie
Lazaro Cardenas,MX,74.88,86,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
Dengzhou,CN,56.89,76,overcast clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
Hofn,IS,43.45,80,clear sky,64.2539,-15.2082,Hótel Höfn
Caravelas,BR,72.81,85,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
Laibin,CN,75.56,60,broken clouds,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
Port Keats,AU,88.74,59,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
Barreiras,BR,69.39,94,overcast clouds,-12.1528,-44.99,Hotel Solar das Mangueiras - Barreiras
Los Llanos De Aridane,ES,65.95,76,overcast clouds,28.6585,-17.9182,Valle Aridane
Mendi,PG,63.19,94,light rain,-6.1761,143.6513,Kiburu Lodge
Monrovia,LR,75.69,85,broken clouds,6.3005,-10.7969,Sunset Inn
Saint-Leu,RE,77.86,62,clear sky,-21.15,55.2833,La Caz Oceane
Itoman,JP,80.98,73,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
Saint-Paul,RE,78.91,64,few clouds,-21.0096,55.2707,Boucan Canot
Port Augusta,AU,77.5,28,clear sky,-32.5,137.7667,Majestic Oasis Apartments
Cherkessk,RU,55.38,47,overcast clouds,44.2233,42.0578,ROOMotel
Toamasina,MG,82.4,74,broken clouds,-18.1667,49.3833,Hotel H1
Tema,GH,79.48,73,clear sky,5.667,-0.0166,Beulah Royale Hotel Tema
Dhidhdhoo,MV,82.35,72,broken clouds,6.8833,73.1,Dhidhoo beach
Gawler,AU,65.52,77,overcast clouds,-34.6,138.7333,Eagle Foundry Bed & Breakfast
Roald,NO,41.32,70,clear sky,62.5833,6.1333,Flem Cabins
Lambarene,GA,76.6,90,broken clouds,-0.7001,10.2406,Le Refuge
Bull Savanna,JM,73.89,86,overcast clouds,17.8868,-77.5902,Big Red's
Biltine,TD,77.23,18,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
Bambanglipuro,ID,82.09,75,overcast clouds,-7.95,110.2833,Puri Brata
Toledo,ES,39.49,85,clear sky,39.8333,-4.0,Hotel Carlos V Toledo
Pallasovka,RU,34.54,69,overcast clouds,50.05,46.8833,"Hotel ""Natalia"""
Ishigaki,JP,78.93,83,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
Eureka,US,40.62,99,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
Bonthe,SL,72.91,73,few clouds,7.5264,-12.505,Bonthe Holiday Village
Kieta,PG,81.19,81,light rain,-6.2167,155.6333,Uruna Bay Retreat
Kutum,SD,66.06,23,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
Batemans Bay,AU,67.1,67,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
La Asuncion,VE,76.73,100,light rain,11.0333,-63.8628,Colinas de Matasiete
Ballarat,AU,60.58,82,clear sky,-37.5662,143.8496,Quest Ballarat
Preetz,DE,39.22,65,broken clouds,54.2333,10.2833,Hotelbetrieb Hecht GmbH
San Quintin,MX,57.49,72,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
Florianopolis,BR,62.62,85,few clouds,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
Aden,YE,80.58,69,clear sky,12.7794,45.0367,Sama Emirate Hotel
Camana,PE,63.34,85,broken clouds,-16.6228,-72.7111,Hostal Morales
Kushima,JP,62.02,89,overcast clouds,31.4583,131.2333,Hanaoka
Yangjiang,CN,79.88,69,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
Komsomolskiy,UZ,48.92,71,broken clouds,40.4272,71.7189,Ikathouse
Chimbote,PE,62.01,91,overcast clouds,-9.0853,-78.5783,Hotel Briliá
Neuquen,AR,64.29,42,clear sky,-38.9516,-68.0591,Hotel del Comahue
Wuning,CN,64.6,95,overcast clouds,29.2589,120.2311,Fu Du Hotel
Paris,FR,44.15,95,broken clouds,48.8534,2.3488,Britannique Hotel - Paris Centre
Owo,NG,75.15,80,few clouds,7.1962,5.5868,The Chancery Hotel and Resort limited
Rio Verde De Mato Grosso,BR,74.03,42,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
Korla,CN,44.02,31,overcast clouds,41.7597,86.1469,Gulisitan Hotel
Cabaiguan,CU,70.18,97,moderate rain,22.0789,-79.4992,Hostal Dumar y Ania
Faya,SA,64.92,36,clear sky,18.3851,42.4509,شيلة نسايم
Oussouye,SN,73.49,28,scattered clouds,12.485,-16.5469,Auberge du Routard
Santa Cruz,BO,74.66,78,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
Den Helder,NL,33.98,72,overcast clouds,52.9599,4.7593,Hotel Den Helder
Dwarka,IN,83.34,35,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
Juneau,US,36.79,51,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
Ginir,ET,68.56,46,clear sky,7.1333,40.7,Sura Dare Village
Garut,ID,80.8,63,overcast clouds,-7.2024,107.8878,favehotel
Kamakwie,SL,65.57,60,overcast clouds,9.5,-12.2333,White House Hotel
Urbano Santos,BR,73.71,94,overcast clouds,-3.2078,-43.4036,Pousada Santa Dulce
San Jeronimo,PE,46.62,80,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
Vulcan,RO,42.08,90,overcast clouds,45.3833,23.2667,Green Paradise Restaurant
Nicoya,CR,73.4,93,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
El Sauzal,MX,56.05,53,clear sky,31.9,-116.6833,Hotel Las Rosas & Spa
Cabanas,CU,74.44,87,broken clouds,22.9758,-82.9219,Villa Luis Montesino y Anabel
Grand-Lahou,CI,78.57,79,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
Cuorgne,IT,47.21,65,few clouds,45.3895,7.6499,B&B Il Grillo Bianco
Sechura,PE,63.14,84,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
Sao Teotonio,PT,52.86,81,overcast clouds,37.5128,-8.7071,Aterra
Baoshan,CN,33.28,65,overcast clouds,46.5586,131.4244,Kelaixiang Restaurant
Wairoa,NZ,69.55,67,clear sky,-39.0333,177.3667,Riverside Motor Camp
Kavieng,PG,83.3,69,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
Hanzhong,CN,62.08,58,clear sky,33.0728,107.0303,Guorui Hotel
Chicama,PE,59.54,86,broken clouds,-7.8447,-79.1469,Balihai Bungalows
Uch,FR,47.37,85,overcast clouds,45.3192,-0.9345,Tour Hôtel
Broken Hill,AU,89.2,22,clear sky,-31.95,141.4333,Royal Exchange Hotel
Miranda,CO,68.13,85,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
Masterton,NZ,58.96,88,few clouds,-40.9597,175.6575,Copthorne Hotel & Resort Solway Park Wairarapa
Dolores,AR,63.81,86,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
Marawi,PH,72.25,93,moderate rain,7.9986,124.2928,Derogongan Residence
Teahupoo,PF,67.96,87,light rain,-17.8333,-149.2667,Vanira Lodge
Peterhead,GB,46.8,76,overcast clouds,57.5058,-1.7981,Palace Hotel
Lorengau,PG,83.39,73,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
Kupang,ID,79.38,94,heavy intensity rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
Le Port,RE,78.8,62,clear sky,-20.9373,55.2919,KORBEY D'OR OUEST
Ambatondrazaka,MG,84.94,48,scattered clouds,-17.8333,48.4167,MANAMBINA Hotel
Camocim,BR,77.4,80,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
Karratha,AU,85.21,29,broken clouds,-20.7377,116.8463,ibis Styles Karratha
Chhindwara,IN,73.67,23,broken clouds,22.0667,78.9333,STARiHOTELS Chhindwara
Akyab,MM,84.58,58,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
Kharan,PK,77.09,18,overcast clouds,28.5833,65.4167,Mansoor Hotel & Restaurant
Coahuayana,MX,72.91,86,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
Fereydun Kenar,IR,66.65,56,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
Bam,IR,70.7,35,overcast clouds,29.106,58.357,Bam Tourist Hotel
Scarborough,GB,48.65,91,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
Acari,PE,65.86,76,broken clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
Artigas,UY,65.89,57,overcast clouds,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
Mutum,BR,61.0,85,clear sky,-19.8,-41.4383,Hotel do Djalma
Magadi,IN,77.16,41,overcast clouds,12.9667,77.2333,Gobi centre
Forest,US,35.96,77,overcast clouds,37.3638,-79.2897,Sir bnb
Bolobo,CD,75.9,78,broken clouds,-2.1667,16.2333,Hotel de Stephen
San Andres,CO,77.02,88,heavy intensity rain,12.5847,-81.7006,Hotel Arena Blanca
Quattro Castella,IT,45.25,76,overcast clouds,44.635,10.4743,Ristorante Albergo La Maddalena
Pathein,MM,86.36,53,few clouds,16.7833,94.7333,Pathein Hotel
Erzin,TR,65.32,61,clear sky,36.9559,36.2,Artemis Otel
Santa Rosa,PH,78.78,95,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
Xam Nua,LA,76.98,65,overcast clouds,20.4197,104.0439,Xee Wang Guesthouse
Mercedes,AR,70.86,58,light rain,-34.6515,-59.4307,Posada del Inti Centro
Pochutla,MX,74.82,88,clear sky,15.7432,-96.4661,Hotel Posada San Jose
Salamiyah,SY,62.78,54,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
Burnie,AU,57.94,94,light rain,-41.0667,145.9167,Beachfront Voyager Motor Inn
Huanren,CN,49.28,66,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
Palasa,IN,81.52,41,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
Union City,US,58.35,42,clear sky,37.5958,-122.0192,"Crowne Plaza Silicon Valley N - Union City, an IHG Hotel"
Katsuura,JP,60.06,62,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
Brae,GB,46.8,63,overcast clouds,60.3964,-1.353,Busta House Hotel
Anloga,GH,80.67,74,scattered clouds,5.7947,0.8973,Pin Drop Hotel
Vanimo,PG,83.07,75,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Kisangani,CD,70.95,96,overcast clouds,0.5167,25.2,Grand Ramela Hotel
Plouzane,FR,43.12,94,clear sky,48.3833,-4.6167,Lymina
Takoradi,GH,78.04,81,clear sky,4.8845,-1.7554,Raybow International Hotel
San Patricio,US,53.83,77,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
Ninh Binh,VN,83.59,62,overcast clouds,20.2539,105.975,Kinh Do Hotel
San Luis,AR,64.47,77,clear sky,-33.295,-66.3356,Huarpes Hotel
Asosa,ET,75.43,41,clear sky,10.0667,34.5333,Blendana Hotel Assosa
Carutapera,BR,78.13,83,broken clouds,-1.195,-46.02,Lidera
Abu Kamal,SY,66.88,40,clear sky,34.4506,40.9171,محطة التلفاز
Karangasem,ID,83.05,73,moderate rain,-8.45,115.6167,Villa Campuhan
Auki,SB,81.82,76,overcast clouds,-8.7676,160.7034,Auki Motel
Tautira,PF,73.4,87,light rain,-17.7333,-149.15,Pension Oaoa
Calama,CL,46.89,46,clear sky,-22.4667,-68.9333,Park Hotel Calama
Rabat,MA,57.04,100,broken clouds,33.9911,-6.8401,Hôtel Mercure Rabat Sheherazade
Saint Pete Beach,US,57.99,66,overcast clouds,27.7253,-82.7412,Sirata Beach Resort
Byron Bay,AU,79.72,70,broken clouds,-28.65,153.6167,Backpackers Inn
Sunrise Manor,US,50.72,28,clear sky,36.2111,-115.0731,Comfort Inn & Suites Las Vegas - Nellis
Mancio Lima,BR,71.35,97,overcast clouds,-7.6142,-72.8958,Motel Asas Do Desejo
Boysun,UZ,48.96,76,overcast clouds,38.2061,67.1986,Gaza Hotel
